iter	Logloss
0	0.2497934
1	0.09842429356
2	0.04879706417
3	0.02506917986
4	0.0132302644
5	0.007042049924
6	0.004272406876
7	0.002702891423
8	0.00194139615
9	0.001536346888
10	0.001190170065
11	0.000956442378
12	0.0007984221732
13	0.0006722298325
14	0.0005836013638
15	0.0005177871958
16	0.0004671934385
17	0.0004672126586
18	0.0004672181565
19	0.000467183605
20	0.0004672085911
21	0.0004670636805
22	0.000467097816
23	0.0004670404686
24	0.0004670420331
25	0.0004670420331
26	0.000467018522
27	0.0004668935913
28	0.0004668872889
29	0.0004667985245
30	0.0004666475351
31	0.0004666974179
32	0.0004666628217
33	0.0004666118661
34	0.0004666191966
35	0.0004664570016
36	0.0004664437711
37	0.0004664447407
38	0.0004664172515
39	0.0004663776492
40	0.0004663776492
41	0.0004663776492
42	0.0004663681732
43	0.0004663435894
44	0.0004663435894
45	0.0004662822638
46	0.0004662822638
47	0.0004662205808
48	0.0004662042213
49	0.0004661951167
50	0.0004661401383
51	0.0004661330176
52	0.0004661382472
53	0.0004661275197
54	0.0004660581486
55	0.0004660523379
56	0.0004660523379
57	0.0004660073718
58	0.0004659729544
59	0.0004659370173
60	0.0004659267815
61	0.0004658688977
62	0.0004658701492
63	0.0004658105807
64	0.000465773839
65	0.0004657336109
66	0.0004656623624
67	0.0004656319679
68	0.000465605462
69	0.0004655830684
70	0.0004655789562
71	0.0004655535231
72	0.0004655479358
73	0.0004655511541
74	0.0004655350938
75	0.0004655182874
76	0.000465500587
77	0.0004655236511
78	0.0004655076493
79	0.0004654861943
80	0.0004654819033
81	0.0004654515534
82	0.0004654619681
83	0.0004654489163
84	0.000465432825
85	0.0004654263885
86	0.000465400866
87	0.0004654110125
88	0.0004654134708
89	0.0004654140966
90	0.000465407079
91	0.0004653837467
92	0.0004653715889
93	0.0004652689763
94	0.0004652545388
95	0.0004652549411
96	0.0004652470296
97	0.0004652503819
98	0.0004652502478
99	0.000465212344
